Edad;Sexo;Sector económico;Periodo;Total
De 16 a 19 años;Hombres;Agricultura;2022T1;0
De 16 a 19 años;Hombres;Agricultura;2022T2;0
De 16 a 19 años;Hombres;Agricultura;2022T3;0
De 16 a 19 años;Hombres;Agricultura;2022T4;0
De 16 a 19 años;Hombres;Industria;2022T1;0
De 16 a 19 años;Hombres;Industria;2022T2;0
De 16 a 19 años;Hombres;Industria;2022T3;0
De 16 a 19 años;Hombres;Industria;2022T4;0
De 16 a 19 años;Hombres;Construcción;2022T1;0
De 16 a 19 años;Hombres;Construcción;2022T2;0
De 16 a 19 años;Hombres;Construcción;2022T3;0
De 16 a 19 años;Hombres;Construcción;2022T4;0
De 16 a 19 años;Hombres;Servicios;2022T1;0
De 16 a 19 años;Hombres;Servicios;2022T2;0
De 16 a 19 años;Hombres;Servicios;2022T3;0
De 16 a 19 años;Hombres;Servicios;2022T4;0
De 16 a 19 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;0
De 16 a 19 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;0
De 16 a 19 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;0
De 16 a 19 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;0
De 16 a 19 años;Mujeres;Agricultura;2022T1;0
De 16 a 19 años;Mujeres;Agricultura;2022T2;0
De 16 a 19 años;Mujeres;Agricultura;2022T3;0
De 16 a 19 años;Mujeres;Agricultura;2022T4;0
De 16 a 19 años;Mujeres;Industria;2022T1;0
De 16 a 19 años;Mujeres;Industria;2022T2;0
De 16 a 19 años;Mujeres;Industria;2022T3;0
De 16 a 19 años;Mujeres;Industria;2022T4;0
De 16 a 19 años;Mujeres;Construcción;2022T1;0
De 16 a 19 años;Mujeres;Construcción;2022T2;0
De 16 a 19 años;Mujeres;Construcción;2022T3;0
De 16 a 19 años;Mujeres;Construcción;2022T4;0
De 16 a 19 años;Mujeres;Servicios;2022T1;0
De 16 a 19 años;Mujeres;Servicios;2022T2;0
De 16 a 19 años;Mujeres;Servicios;2022T3;0
De 16 a 19 años;Mujeres;Servicios;2022T4;0
De 16 a 19 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;0
De 16 a 19 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;0
De 16 a 19 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;0
De 16 a 19 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;0
De 20 a 24 años;Hombres;Agricultura;2022T1;0
De 20 a 24 años;Hombres;Agricultura;2022T2;0
De 20 a 24 años;Hombres;Agricultura;2022T3;0
De 20 a 24 años;Hombres;Agricultura;2022T4;0
De 20 a 24 años;Hombres;Industria;2022T1;0
De 20 a 24 años;Hombres;Industria;2022T2;0
De 20 a 24 años;Hombres;Industria;2022T3;0
De 20 a 24 años;Hombres;Industria;2022T4;0
De 20 a 24 años;Hombres;Construcción;2022T1;0
De 20 a 24 años;Hombres;Construcción;2022T2;0
De 20 a 24 años;Hombres;Construcción;2022T3;0
De 20 a 24 años;Hombres;Construcción;2022T4;0
De 20 a 24 años;Hombres;Servicios;2022T1;0
De 20 a 24 años;Hombres;Servicios;2022T2;0
De 20 a 24 años;Hombres;Servicios;2022T3;0
De 20 a 24 años;Hombres;Servicios;2022T4;0
De 20 a 24 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;0
De 20 a 24 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;0
De 20 a 24 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;0
De 20 a 24 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;0
De 20 a 24 años;Mujeres;Agricultura;2022T1;0
De 20 a 24 años;Mujeres;Agricultura;2022T2;0
De 20 a 24 años;Mujeres;Agricultura;2022T3;0
De 20 a 24 años;Mujeres;Agricultura;2022T4;0
De 20 a 24 años;Mujeres;Industria;2022T1;0
De 20 a 24 años;Mujeres;Industria;2022T2;0
De 20 a 24 años;Mujeres;Industria;2022T3;0
De 20 a 24 años;Mujeres;Industria;2022T4;0
De 20 a 24 años;Mujeres;Construcción;2022T1;0
De 20 a 24 años;Mujeres;Construcción;2022T2;0
De 20 a 24 años;Mujeres;Construcción;2022T3;0
De 20 a 24 años;Mujeres;Construcción;2022T4;0
De 20 a 24 años;Mujeres;Servicios;2022T1;0
De 20 a 24 años;Mujeres;Servicios;2022T2;0
De 20 a 24 años;Mujeres;Servicios;2022T3;0
De 20 a 24 años;Mujeres;Servicios;2022T4;0
De 20 a 24 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;0
De 20 a 24 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;0
De 20 a 24 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;0
De 20 a 24 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;0
De 25 a 54 años;Hombres;Agricultura;2022T1;0
De 25 a 54 años;Hombres;Agricultura;2022T2;0
De 25 a 54 años;Hombres;Agricultura;2022T3;0
De 25 a 54 años;Hombres;Agricultura;2022T4;0
De 25 a 54 años;Hombres;Industria;2022T1;0
De 25 a 54 años;Hombres;Industria;2022T2;0
De 25 a 54 años;Hombres;Industria;2022T3;0
De 25 a 54 años;Hombres;Industria;2022T4;0
De 25 a 54 años;Hombres;Construcción;2022T1;0
De 25 a 54 años;Hombres;Construcción;2022T2;0
De 25 a 54 años;Hombres;Construcción;2022T3;0
De 25 a 54 años;Hombres;Construcción;2022T4;0
De 25 a 54 años;Hombres;Servicios;2022T1;0
De 25 a 54 años;Hombres;Servicios;2022T2;0
De 25 a 54 años;Hombres;Servicios;2022T3;0
De 25 a 54 años;Hombres;Servicios;2022T4;0
De 25 a 54 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;0
De 25 a 54 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;0
De 25 a 54 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;0
De 25 a 54 años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;0
De 25 a 54 años;Mujeres;Agricultura;2022T1;0
De 25 a 54 años;Mujeres;Agricultura;2022T2;0
De 25 a 54 años;Mujeres;Agricultura;2022T3;0
De 25 a 54 años;Mujeres;Agricultura;2022T4;0
De 25 a 54 años;Mujeres;Industria;2022T1;0
De 25 a 54 años;Mujeres;Industria;2022T2;0
De 25 a 54 años;Mujeres;Industria;2022T3;0
De 25 a 54 años;Mujeres;Industria;2022T4;0
De 25 a 54 años;Mujeres;Construcción;2022T1;0
De 25 a 54 años;Mujeres;Construcción;2022T2;0
De 25 a 54 años;Mujeres;Construcción;2022T3;0
De 25 a 54 años;Mujeres;Construcción;2022T4;0
De 25 a 54 años;Mujeres;Servicios;2022T1;0
De 25 a 54 años;Mujeres;Servicios;2022T2;0
De 25 a 54 años;Mujeres;Servicios;2022T3;0
De 25 a 54 años;Mujeres;Servicios;2022T4;0
De 25 a 54 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;0
De 25 a 54 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;0
De 25 a 54 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;0
De 25 a 54 años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;0
55 y más años;Hombres;Agricultura;2022T1;0
55 y más años;Hombres;Agricultura;2022T2;0
55 y más años;Hombres;Agricultura;2022T3;0
55 y más años;Hombres;Agricultura;2022T4;0
55 y más años;Hombres;Industria;2022T1;0
55 y más años;Hombres;Industria;2022T2;0
55 y más años;Hombres;Industria;2022T3;0
55 y más años;Hombres;Industria;2022T4;0
55 y más años;Hombres;Construcción;2022T1;0
55 y más años;Hombres;Construcción;2022T2;0
55 y más años;Hombres;Construcción;2022T3;0
55 y más años;Hombres;Construcción;2022T4;0
55 y más años;Hombres;Servicios;2022T1;0
55 y más años;Hombres;Servicios;2022T2;0
55 y más años;Hombres;Servicios;2022T3;0
55 y más años;Hombres;Servicios;2022T4;0
55 y más años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;0
55 y más años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;0
55 y más años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;0
55 y más años;Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;0
55 y más años;Mujeres;Agricultura;2022T1;0
55 y más años;Mujeres;Agricultura;2022T2;0
55 y más años;Mujeres;Agricultura;2022T3;0
55 y más años;Mujeres;Agricultura;2022T4;0
55 y más años;Mujeres;Industria;2022T1;0
55 y más años;Mujeres;Industria;2022T2;0
55 y más años;Mujeres;Industria;2022T3;0
55 y más años;Mujeres;Industria;2022T4;0
55 y más años;Mujeres;Construcción;2022T1;0
55 y más años;Mujeres;Construcción;2022T2;0
55 y más años;Mujeres;Construcción;2022T3;0
55 y más años;Mujeres;Construcción;2022T4;0
55 y más años;Mujeres;Servicios;2022T1;0
55 y más años;Mujeres;Servicios;2022T2;0
55 y más años;Mujeres;Servicios;2022T3;0
55 y más años;Mujeres;Servicios;2022T4;0
55 y más años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;0
55 y más años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;0
55 y más años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;0
55 y más años;Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;0
De 16 a 19 años;Hombres;Agricultura;2023T1;0
De 16 a 19 años;Hombres;Agricultura;2023T2;0
De 16 a 19 años;Hombres;Agricultura;2023T3;0
De 16 a 19 años;Hombres;Agricultura;2023T4;0
De 16 a 19 años;Hombres;Industria;2023T1;0
De 16 a 19 años;Hombres;Industria;2023T2;0
De 16 a 19 años;Hombres;Industria;2023T3;0
De 16 a 19 años;Hombres;Industria;2023T4;0
De 16 a 19 años;Hombres;Construcción;2023T1;0
De 16 a 19 años;Hombres;Construcción;2023T2;0
De 16 a 19 años;Hombres;Construcción;2023T3;0
De 16 a 19 años;Hombres;Construcción;2023T4;0
