Edad;Sexo;Comunidades y Ciudades Autónomas;Periodo;Total
De 16 a 19 años;Hombres;01 Andalucía;2021T4;15,7
De 16 a 19 años;Hombres;01 Andalucía;2021T3;16,0
De 16 a 19 años;Hombres;01 Andalucía;2021T2;15,4
De 16 a 19 años;Hombres;01 Andalucía;2021T1;11,6
De 16 a 19 años;Hombres;01 Andalucía;2020T4;15,3
De 16 a 19 años;Hombres;01 Andalucía;2020T3;17,0
De 16 a 19 años;Hombres;01 Andalucía;2020T2;12,3
De 16 a 19 años;Hombres;01 Andalucía;2020T1;17,5
De 16 a 19 años;Hombres;01 Andalucía;2019T4;15,1
De 16 a 19 años;Hombres;01 Andalucía;2019T3;18,8
De 16 a 19 años;Hombres;01 Andalucía;2019T2;16,5
De 16 a 19 años;Hombres;01 Andalucía;2019T1;13,6
De 16 a 19 años;Hombres;01 Andalucía;2018T4;16,5
De 16 a 19 años;Hombres;01 Andalucía;2018T3;16,3
De 16 a 19 años;Hombres;01 Andalucía;2018T2;21,0
De 16 a 19 años;Hombres;01 Andalucía;2018T1;19,3
De 16 a 19 años;Hombres;01 Andalucía;2017T4;20,7
De 16 a 19 años;Hombres;01 Andalucía;2017T3;20,1
De 16 a 19 años;Hombres;01 Andalucía;2017T2;21,4
De 16 a 19 años;Hombres;01 Andalucía;2017T1;17,8
De 16 a 19 años;Hombres;01 Andalucía;2016T4;19,4
De 16 a 19 años;Hombres;01 Andalucía;2016T3;20,3
De 16 a 19 años;Hombres;01 Andalucía;2016T2;15,9
De 16 a 19 años;Hombres;01 Andalucía;2016T1;19,5
De 16 a 19 años;Hombres;01 Andalucía;2015T4;16,8
De 16 a 19 años;Hombres;01 Andalucía;2015T3;19,7
De 16 a 19 años;Hombres;01 Andalucía;2015T2;20,9
De 16 a 19 años;Hombres;01 Andalucía;2015T1;18,2
De 16 a 19 años;Hombres;01 Andalucía;2014T4;19,2
De 16 a 19 años;Hombres;01 Andalucía;2014T3;23,0
De 16 a 19 años;Hombres;01 Andalucía;2014T2;20,1
De 16 a 19 años;Hombres;01 Andalucía;2014T1;17,6
De 16 a 19 años;Hombres;01 Andalucía;2013T4;24,1
De 16 a 19 años;Hombres;01 Andalucía;2013T3;28,2
De 16 a 19 años;Hombres;01 Andalucía;2013T2;25,4
De 16 a 19 años;Hombres;01 Andalucía;2013T1;28,2
De 16 a 19 años;Hombres;01 Andalucía;2012T4;28,4
De 16 a 19 años;Hombres;01 Andalucía;2012T3;31,5
De 16 a 19 años;Hombres;01 Andalucía;2012T2;33,0
De 16 a 19 años;Hombres;01 Andalucía;2012T1;30,6
De 16 a 19 años;Hombres;01 Andalucía;2011T4;35,7
De 16 a 19 años;Hombres;01 Andalucía;2011T3;32,5
De 16 a 19 años;Hombres;01 Andalucía;2011T2;28,4
De 16 a 19 años;Hombres;01 Andalucía;2011T1;27,1
De 16 a 19 años;Hombres;01 Andalucía;2010T4;27,5
De 16 a 19 años;Hombres;01 Andalucía;2010T3;35,6
De 16 a 19 años;Hombres;01 Andalucía;2010T2;36,4
De 16 a 19 años;Hombres;01 Andalucía;2010T1;34,8
De 16 a 19 años;Hombres;02 Aragón;2021T4;1,2
De 16 a 19 años;Hombres;02 Aragón;2021T3;1,9
De 16 a 19 años;Hombres;02 Aragón;2021T2;0,7
De 16 a 19 años;Hombres;02 Aragón;2021T1;1,6
De 16 a 19 años;Hombres;02 Aragón;2020T4;1,9
De 16 a 19 años;Hombres;02 Aragón;2020T3;1,9
De 16 a 19 años;Hombres;02 Aragón;2020T2;1,3
De 16 a 19 años;Hombres;02 Aragón;2020T1;0,9
De 16 a 19 años;Hombres;02 Aragón;2019T4;1,0
De 16 a 19 años;Hombres;02 Aragón;2019T3;1,1
De 16 a 19 años;Hombres;02 Aragón;2019T2;1,4
De 16 a 19 años;Hombres;02 Aragón;2019T1;1,6
De 16 a 19 años;Hombres;02 Aragón;2018T4;1,5
De 16 a 19 años;Hombres;02 Aragón;2018T3;1,4
De 16 a 19 años;Hombres;02 Aragón;2018T2;1,6
De 16 a 19 años;Hombres;02 Aragón;2018T1;2,5
De 16 a 19 años;Hombres;02 Aragón;2017T4;1,0
De 16 a 19 años;Hombres;02 Aragón;2017T3;2,2
De 16 a 19 años;Hombres;02 Aragón;2017T2;2,0
De 16 a 19 años;Hombres;02 Aragón;2017T1;1,5
De 16 a 19 años;Hombres;02 Aragón;2016T4;2,0
De 16 a 19 años;Hombres;02 Aragón;2016T3;2,3
De 16 a 19 años;Hombres;02 Aragón;2016T2;1,2
De 16 a 19 años;Hombres;02 Aragón;2016T1;1,9
De 16 a 19 años;Hombres;02 Aragón;2015T4;1,4
De 16 a 19 años;Hombres;02 Aragón;2015T3;2,0
De 16 a 19 años;Hombres;02 Aragón;2015T2;2,4
De 16 a 19 años;Hombres;02 Aragón;2015T1;1,4
De 16 a 19 años;Hombres;02 Aragón;2014T4;1,2
De 16 a 19 años;Hombres;02 Aragón;2014T3;2,4
De 16 a 19 años;Hombres;02 Aragón;2014T2;3,2
De 16 a 19 años;Hombres;02 Aragón;2014T1;2,5
De 16 a 19 años;Hombres;02 Aragón;2013T4;5,0
De 16 a 19 años;Hombres;02 Aragón;2013T3;4,4
De 16 a 19 años;Hombres;02 Aragón;2013T2;3,5
De 16 a 19 años;Hombres;02 Aragón;2013T1;4,8
De 16 a 19 años;Hombres;02 Aragón;2012T4;3,2
De 16 a 19 años;Hombres;02 Aragón;2012T3;3,4
De 16 a 19 años;Hombres;02 Aragón;2012T2;3,4
De 16 a 19 años;Hombres;02 Aragón;2012T1;2,9
De 16 a 19 años;Hombres;02 Aragón;2011T4;2,5
