,Año,Mes,fecha_x,Periodo,fecha_int,Curso Lectivo,altitud,tmed,tmin,tmax,presMax,presMin,ccaa_iso,Estacion,Trimestre,num_casos
0,2022,01,2022-01-19,202201,19012022,1,434.75,8.353333333333333,3.1599999999999997,13.506666666666666,973.9599999999999,967.5400000000001,AN,Invierno,T1,0
2,2022,01,2022-01-20,202201,20012022,1,434.75,7.525,3.98125,11.0875,968.3,962.1125000000001,AN,Invierno,T1,0
4,2022,01,2022-01-21,202201,21012022,1,434.75,9.3625,6.51875,12.19375,967.54375,963.15,AN,Invierno,T1,0
6,2022,01,2022-01-22,202201,22012022,1,434.75,9.773333333333333,6.72,12.826666666666666,970.8199999999999,966.2533333333333,AN,Invierno,T1,0
8,2022,01,2022-01-23,202201,23012022,1,434.75,9.34,6.366666666666666,12.313333333333333,972.3933333333333,968.0133333333334,AN,Invierno,T1,0
10,2022,01,2022-01-24,202201,24012022,1,434.75,11.3,8.166666666666666,14.433333333333334,971.8066666666667,967.9,AN,Invierno,T1,0
12,2022,01,2022-01-25,202201,25012022,1,434.75,10.82,8.086666666666666,13.56,972.8533333333332,968.06,AN,Invierno,T1,0
14,2022,01,2022-01-26,202201,26012022,1,434.75,11.7375,8.425,15.025,976.1,970.05625,AN,Invierno,T1,0
16,2022,01,2022-01-27,202201,27012022,1,434.75,11.53125,6.69375,16.34375,976.54375,973.8625,AN,Invierno,T1,0
18,2022,01,2022-01-28,202201,28012022,1,434.75,13.425,8.2625,18.575,975.9,973.06875,AN,Invierno,T1,0
20,2022,01,2022-01-29,202201,29012022,1,434.75,12.575,7.00625,18.15625,974.79375,972.025,AN,Invierno,T1,0
22,2022,01,2022-01-30,202201,30012022,1,434.75,12.242857142857144,8.064285714285715,16.435714285714287,977.5214285714285,973.5857142857143,AN,Invierno,T1,0
24,2022,01,2022-01-31,202201,31012022,1,434.75,12.466666666666667,9.086666666666668,15.793333333333333,973.2866666666666,970.2199999999999,AN,Invierno,T1,0
26,2022,02,2022-02-01,202201,1022022,1,434.75,13.993333333333334,9.68,18.34,974.69375,971.125,AN,Invierno,T1,0
28,2022,02,2022-02-02,202201,2022022,1,434.75,14.007142857142856,8.121428571428572,19.914285714285715,978.0214285714286,974.6357142857142,AN,Invierno,T1,0
30,2022,02,2022-02-03,202201,3022022,1,434.75,14.053333333333335,8.246666666666666,19.853333333333335,973.36,969.6466666666666,AN,Invierno,T1,0
32,2022,02,2022-02-04,202201,4022022,1,434.75,14.213333333333335,7.926666666666667,20.5,971.9,965.4866666666666,AN,Invierno,T1,0
34,2022,02,2022-02-05,202201,5022022,1,434.75,12.506666666666666,7.64,17.386666666666667,966.1933333333333,961.8066666666667,AN,Invierno,T1,0
36,2022,02,2022-02-06,202201,6022022,1,434.75,11.29375,7.6375,14.9375,965.3,961.15625,AN,Invierno,T1,0
38,2022,02,2022-02-07,202201,7022022,1,434.75,10.7875,7.0625,14.525,968.63125,964.0625,AN,Invierno,T1,0
40,2022,02,2022-02-08,202201,8022022,1,434.75,11.373333333333333,8.006666666666666,14.746666666666668,973.5466666666667,967.9733333333334,AN,Invierno,T1,0
42,2022,02,2022-02-09,202201,9022022,1,434.75,12.4125,8.1375,16.70625,972.33125,967.24375,AN,Invierno,T1,0
44,2022,02,2022-02-10,202201,10022022,1,434.75,13.38125,8.16875,18.59375,976.20625,969.6,AN,Invierno,T1,0
46,2022,02,2022-02-11,202201,11022022,1,434.75,14.05,8.89375,19.18125,975.13125,971.225,AN,Invierno,T1,0
48,2022,02,2022-02-12,202201,12022022,1,434.75,12.953333333333335,8.993333333333334,16.92,974.36,970.4933333333333,AN,Invierno,T1,0
50,2022,02,2022-02-13,202201,13022022,1,434.75,12.56875,6.8187500000000005,18.3375,975.7875,972.85625,AN,Invierno,T1,0
52,2022,02,2022-02-14,202201,14022022,1,434.75,12.65,5.3125,20.03125,977.0375,973.3125,AN,Invierno,T1,0
54,2022,02,2022-02-15,202201,15022022,1,434.75,12.973333333333333,6.793333333333334,19.18,980.86,977.5400000000001,AN,Invierno,T1,0
56,2022,02,2022-02-16,202201,16022022,1,434.75,13.226666666666667,5.66,20.793333333333333,980.5666666666667,977.2800000000001,AN,Invierno,T1,0
58,2022,02,2022-02-17,202201,17022022,1,434.75,13.44,6.0600000000000005,20.853333333333335,979.3333333333334,974.9333333333333,AN,Invierno,T1,0
60,2022,02,2022-02-18,202201,18022022,1,434.75,12.766666666666667,6.906666666666666,18.60666666666667,977.0866666666666,974.52,AN,Invierno,T1,0
62,2022,02,2022-02-19,202201,19022022,1,434.75,13.093333333333334,7.446666666666667,18.740000000000002,977.3933333333333,973.6800000000001,AN,Invierno,T1,0
64,2022,02,2022-02-20,202201,20022022,1,434.75,12.893333333333334,6.8533333333333335,18.933333333333334,973.8933333333333,967.3466666666667,AN,Invierno,T1,0
66,2022,02,2022-02-21,202201,21022022,1,434.75,11.8,6.586666666666667,17.013333333333332,974.4066666666666,967.0866666666666,AN,Invierno,T1,0
68,2022,02,2022-02-22,202201,22022022,1,434.75,11.886666666666667,5.053333333333333,18.726666666666667,981.12,973.9933333333333,AN,Invierno,T1,0
70,2022,02,2022-02-23,202201,23022022,1,434.75,12.073333333333332,4.486666666666666,19.646666666666665,983.86,979.6,AN,Invierno,T1,0
72,2022,02,2022-02-24,202201,24022022,1,434.75,13.112499999999999,5.975,20.2375,979.85,974.06875,AN,Invierno,T1,0
74,2022,02,2022-02-25,202201,25022022,1,434.75,11.946666666666665,6.16,17.746666666666666,975.35625,971.84375,AN,Invierno,T1,0
76,2022,02,2022-02-26,202201,26022022,1,434.75,12.786666666666667,7.8933333333333335,17.68,972.5,969.4933333333333,AN,Invierno,T1,0
78,2022,02,2022-02-27,202201,27022022,1,434.75,11.8875,5.7375,18.05,974.25625,969.95625,AN,Invierno,T1,0
80,2022,02,2022-02-28,202201,28022022,1,434.75,12.4,5.88125,18.93125,970.98125,966.49375,AN,Invierno,T1,0
82,2022,03,2022-03-01,202201,1032022,1,434.75,12.98125,9.1125,16.83125,970.025,965.8625,AN,Invierno,T1,0
84,2022,03,2022-03-02,202201,2032022,1,434.75,13.34375,8.34375,18.3625,973.4875,965.85625,AN,Invierno,T1,0
86,2022,03,2022-03-03,202201,3032022,1,434.75,12.76,7.4399999999999995,18.086666666666666,978.1133333333333,974.48,AN,Invierno,T1,0
88,2022,03,2022-03-04,202201,4032022,1,434.75,13.525,8.55,18.475,973.33125,967.4625,AN,Invierno,T1,0
90,2022,03,2022-03-05,202201,5032022,1,434.75,12.1,7.51875,16.69375,968.18125,964.13125,AN,Invierno,T1,0
92,2022,03,2022-03-06,202201,6032022,1,434.75,11.86875,7.60625,16.118750000000002,970.83125,967.125,AN,Invierno,T1,0
94,2022,03,2022-03-07,202201,7032022,1,434.75,12.0125,6.33125,17.7,971.7625,968.075,AN,Invierno,T1,0
96,2022,03,2022-03-08,202201,8032022,1,434.75,12.139999999999999,5.166666666666667,19.12,970.92,967.8,AN,Invierno,T1,0
98,2022,03,2022-03-09,202201,9032022,1,434.75,12.7375,6.65625,18.83125,973.0,968.43125,AN,Invierno,T1,0
100,2022,03,2022-03-10,202201,10032022,1,434.75,14.046666666666665,6.553333333333333,21.546666666666667,976.5733333333334,972.0266666666666,AN,Invierno,T1,0
102,2022,03,2022-03-11,202201,11032022,1,434.75,15.28125,6.7124999999999995,23.84375,975.56875,971.54375,AN,Invierno,T1,0
104,2022,03,2022-03-12,202201,12032022,1,434.75,15.35,8.5125,22.18125,972.55,968.29375,AN,Invierno,T1,0
106,2022,03,2022-03-13,202201,13032022,1,434.75,13.8625,6.7875,20.9375,970.86875,967.90625,AN,Invierno,T1,0
108,2022,03,2022-03-14,202201,14032022,1,434.75,14.1,6.9625,21.2375,971.9625,968.65625,AN,Invierno,T1,0
110,2022,03,2022-03-15,202201,15032022,1,434.75,14.125,7.25625,21.0,970.04375,965.95625,AN,Invierno,T1,0
112,2022,03,2022-03-16,202201,16032022,1,434.75,11.875,5.81875,17.93125,969.24375,965.56875,AN,Invierno,T1,0
114,2022,03,2022-03-17,202201,17032022,1,434.75,12.3,5.8125,18.775,970.88125,965.80625,AN,Invierno,T1,0
116,2022,03,2022-03-18,202201,18032022,1,434.75,14.03125,8.275,19.7625,968.64375,964.625,AN,Invierno,T1,0
118,2022,03,2022-03-19,202201,19032022,1,434.75,11.875,6.6875,17.06875,966.725,962.075,AN,Invierno,T1,0
120,2022,03,2022-03-20,202201,20032022,1,434.75,10.73125,5.99375,15.4875,966.6375,960.56875,AN,Invierno,T1,0
122,2022,03,2022-03-21,202201,21032022,1,434.75,10.04375,4.3875,15.70625,966.98125,963.11875,AN,Primavera,T1,0
124,2022,03,2022-03-22,202201,22032022,1,434.75,10.95625,4.9625,16.93125,966.1625,962.7125,AN,Primavera,T1,0
126,2022,03,2022-03-23,202201,23032022,1,434.75,12.0125,5.28125,18.76875,968.0125,964.66875,AN,Primavera,T1,0
128,2022,03,2022-03-24,202201,24032022,1,434.75,13.21875,7.00625,19.40625,969.38125,965.45625,AN,Primavera,T1,0
130,2022,03,2022-03-25,202201,25032022,1,434.75,13.906666666666666,7.433333333333334,20.38,973.6,970.3533333333332,AN,Primavera,T1,0
132,2022,03,2022-03-26,202201,26032022,1,434.75,14.1875,7.31875,21.0375,968.43125,963.83125,AN,Primavera,T1,0
134,2022,03,2022-03-27,202201,27032022,1,434.75,13.299999999999999,6.96875,19.65,968.0375,963.575,AN,Primavera,T1,0
136,2022,03,2022-03-28,202201,28032022,1,434.75,13.80625,7.65625,19.96875,971.475,967.0125,AN,Primavera,T1,0
138,2022,03,2022-03-29,202201,29032022,1,434.75,14.5625,8.35,20.78125,971.35625,967.45625,AN,Primavera,T1,0
140,2022,03,2022-03-30,202201,30032022,1,434.75,15.03125,9.8,20.275,968.84375,961.475,AN,Primavera,T1,0
142,2022,03,2022-03-31,202201,31032022,1,434.75,16.313333333333333,11.073333333333332,21.546666666666667,968.4133333333334,960.9,AN,Primavera,T1,0
144,2022,04,2022-04-01,202202,1042022,1,434.75,14.413333333333334,9.520000000000001,19.28666666666667,968.7933333333333,964.1666666666666,AN,Primavera,T2,0
146,2022,04,2022-04-02,202202,2042022,1,434.75,13.09375,8.4875,17.693749999999998,966.4375,961.85625,AN,Primavera,T2,0
148,2022,04,2022-04-03,202202,3042022,1,434.75,13.9875,7.88125,20.0875,966.0875,962.09375,AN,Primavera,T2,0
150,2022,04,2022-04-04,202202,4042022,1,434.75,14.226666666666667,8.493333333333332,19.94,966.56875,962.3125,AN,Primavera,T2,0
152,2022,04,2022-04-05,202202,5042022,1,434.75,15.26,9.18,21.353333333333335,969.3733333333333,965.92,AN,Primavera,T2,0
154,2022,04,2022-04-06,202202,6042022,1,434.75,16.193333333333335,10.666666666666666,21.720000000000002,970.3666666666667,965.5066666666667,AN,Primavera,T2,0
156,2022,04,2022-04-07,202202,7042022,1,434.75,16.29375,10.5625,22.01875,971.4375,966.06875,AN,Primavera,T2,0
158,2022,04,2022-04-08,202202,8042022,1,434.75,15.7875,11.4875,20.0875,971.625,967.61875,AN,Primavera,T2,0
160,2022,04,2022-04-09,202202,9042022,1,434.75,15.475,10.975,19.95,969.55625,965.46875,AN,Primavera,T2,0
162,2022,04,2022-04-10,202202,10042022,1,434.75,15.71875,11.1875,20.25,968.25,965.03125,AN,Primavera,T2,0
164,2022,04,2022-04-11,202202,11042022,1,434.75,15.7375,10.15625,21.3125,969.63125,964.5875,AN,Primavera,T2,0
166,2022,04,2022-04-12,202202,12042022,1,434.75,15.34,9.94,20.746666666666666,970.7066666666667,965.6266666666667,AN,Primavera,T2,0
168,2022,04,2022-04-13,202202,13042022,1,434.75,16.14,11.233333333333333,21.066666666666666,967.5,963.0,AN,Primavera,T2,0
170,2022,04,2022-04-14,202202,14042022,1,434.75,15.053333333333335,10.973333333333333,19.146666666666665,965.8266666666666,962.08,AN,Primavera,T2,0
172,2022,04,2022-04-15,202202,15042022,1,434.75,13.993333333333334,10.879999999999999,17.09333333333333,966.6666666666666,961.8,AN,Primavera,T2,0
174,2022,04,2022-04-16,202202,16042022,1,434.75,15.080000000000002,10.04,20.1,967.7333333333333,964.2733333333333,AN,Primavera,T2,0
176,2022,04,2022-04-17,202202,17042022,1,434.75,15.606666666666666,9.96,21.253333333333334,968.2066666666667,965.2333333333333,AN,Primavera,T2,0
178,2022,04,2022-04-18,202202,18042022,1,434.75,15.76,8.92,22.60666666666667,968.9,964.94,AN,Primavera,T2,0
180,2022,04,2022-04-19,202202,19042022,1,434.75,16.24,10.453333333333335,22.026666666666664,967.3333333333334,962.8933333333333,AN,Primavera,T2,0
182,2022,04,2022-04-20,202202,20042022,1,434.75,14.860000000000001,9.533333333333333,20.166666666666668,966.0733333333334,961.5266666666666,AN,Primavera,T2,0
184,2022,04,2022-04-21,202202,21042022,1,434.75,14.586666666666668,9.953333333333331,19.2,964.6466666666668,960.4266666666666,AN,Primavera,T2,0
186,2022,04,2022-04-22,202202,22042022,1,434.75,16.053333333333335,10.82,21.259999999999998,967.2133333333334,963.24,AN,Primavera,T2,0
188,2022,04,2022-04-23,202202,23042022,1,434.75,16.15,10.51875,21.76875,966.6374999999999,963.3625,AN,Primavera,T2,0
190,2022,04,2022-04-24,202202,24042022,1,434.75,15.7125,11.10625,20.30625,964.55,959.86875,AN,Primavera,T2,0
192,2022,04,2022-04-25,202202,25042022,1,434.75,15.05,11.9125,18.1875,962.28125,958.1625,AN,Primavera,T2,0
194,2022,04,2022-04-26,202202,26042022,1,434.75,15.2875,11.83125,18.74375,961.81875,959.0125,AN,Primavera,T2,0
196,2022,04,2022-04-27,202202,27042022,1,434.75,14.893333333333334,10.533333333333333,19.253333333333334,962.4133333333334,959.02,AN,Primavera,T2,0
198,2022,04,2022-04-28,202202,28042022,1,434.75,15.693333333333333,11.133333333333333,20.246666666666666,964.8533333333332,960.94,AN,Primavera,T2,0
200,2022,04,2022-04-29,202202,29042022,1,434.75,14.893333333333334,9.08,20.7,966.2866666666666,963.6533333333333,AN,Primavera,T2,0
202,2022,04,2022-04-30,202202,30042022,1,434.75,15.26,9.753333333333334,20.753333333333334,967.1,963.8466666666667,AN,Primavera,T2,0
204,2022,05,2022-05-01,202202,1052022,1,434.75,16.36,9.879999999999999,22.833333333333332,969.8333333333334,966.0533333333333,AN,Primavera,T2,0
206,2022,05,2022-05-02,202202,2052022,1,434.75,17.853333333333335,9.873333333333333,25.813333333333333,969.7266666666667,965.6866666666666,AN,Primavera,T2,0
208,2022,05,2022-05-03,202202,3052022,1,434.75,19.153333333333332,11.553333333333335,26.779999999999998,968.26,963.9933333333333,AN,Primavera,T2,0
210,2022,05,2022-05-04,202202,4052022,1,434.75,19.71333333333333,11.9,27.526666666666664,967.3666666666667,962.4333333333333,AN,Primavera,T2,0
212,2022,05,2022-05-05,202202,5052022,1,434.75,19.535714285714285,12.307142857142859,26.74285714285714,969.8000000000001,967.0357142857143,AN,Primavera,T2,0
214,2022,05,2022-05-06,202202,6052022,1,434.75,19.813333333333333,11.806666666666667,27.813333333333333,968.0266666666666,964.3333333333334,AN,Primavera,T2,0
216,2022,05,2022-05-07,202202,7052022,1,434.75,20.642857142857142,12.985714285714286,28.292857142857144,967.157142857143,964.0571428571428,AN,Primavera,T2,0
218,2022,05,2022-05-08,202202,8052022,1,434.75,19.94,12.479999999999999,27.413333333333334,966.38,961.2133333333334,AN,Primavera,T2,0
220,2022,05,2022-05-09,202202,9052022,1,434.75,17.959999999999997,12.853333333333333,23.126666666666665,964.2266666666667,958.98,AN,Primavera,T2,0
222,2022,05,2022-05-10,202202,10052022,1,434.75,15.093333333333332,10.573333333333332,19.62,964.88,960.2133333333334,AN,Primavera,T2,0
224,2022,05,2022-05-11,202202,11052022,1,434.75,15.82,10.346666666666668,21.32,967.1866666666666,963.66,AN,Primavera,T2,0
226,2022,05,2022-05-12,202202,12052022,1,434.75,15.013333333333332,9.726666666666667,20.30666666666667,966.1333333333333,962.3466666666667,AN,Primavera,T2,0
228,2022,05,2022-05-13,202202,13052022,1,434.75,16.42,10.139999999999999,22.686666666666667,964.0533333333333,959.2666666666667,AN,Primavera,T2,0
230,2022,05,2022-05-14,202202,14052022,1,434.75,16.346666666666668,11.113333333333333,21.586666666666666,964.0666666666667,959.6533333333333,AN,Primavera,T2,0
232,2022,05,2022-05-15,202202,15052022,1,434.75,17.566666666666666,10.613333333333335,24.513333333333332,965.9133333333334,961.6733333333334,AN,Primavera,T2,0
234,2022,05,2022-05-16,202202,16052022,1,434.75,19.157142857142855,12.37142857142857,25.95,968.1,963.3857142857142,AN,Primavera,T2,0
236,2022,05,2022-05-17,202202,17052022,1,434.75,19.692857142857143,13.464285714285714,25.914285714285715,970.6714285714286,966.8357142857143,AN,Primavera,T2,0
238,2022,05,2022-05-18,202202,18052022,1,434.75,20.092857142857145,12.078571428571427,28.092857142857145,971.4857142857143,968.092857142857,AN,Primavera,T2,0
240,2022,05,2022-05-19,202202,19052022,1,434.75,22.146666666666665,13.92,30.40666666666667,970.5466666666667,966.66,AN,Primavera,T2,0
242,2022,05,2022-05-20,202202,20052022,1,434.75,22.62142857142857,14.714285714285714,30.528571428571432,969.7533333333333,966.2466666666667,AN,Primavera,T2,0
244,2022,05,2022-05-21,202202,21052022,1,434.75,23.1875,15.31875,31.0375,970.19375,965.5375,AN,Primavera,T2,0
246,2022,05,2022-05-22,202202,22052022,1,434.75,22.68125,15.0875,30.26875,969.28125,966.225,AN,Primavera,T2,0
248,2022,05,2022-05-23,202202,23052022,1,434.75,20.9875,14.18125,27.78125,972.78125,966.91875,AN,Primavera,T2,0
250,2022,05,2022-05-24,202202,24052022,1,434.75,20.825,13.2375,28.41875,973.2625,970.11875,AN,Primavera,T2,0
252,2022,05,2022-05-25,202202,25052022,1,434.75,21.5625,13.425,29.68125,972.0875,968.23125,AN,Primavera,T2,0
254,2022,05,2022-05-26,202202,26052022,1,434.75,21.8125,14.3375,29.2875,970.56875,966.6625,AN,Primavera,T2,0
256,2022,05,2022-05-27,202202,27052022,1,434.75,20.3375,14.95625,25.71875,969.10625,966.13125,AN,Primavera,T2,0
258,2022,05,2022-05-28,202202,28052022,1,434.75,21.64375,14.69375,28.6,969.06875,965.18125,AN,Primavera,T2,0
260,2022,05,2022-05-29,202202,29052022,1,434.75,22.98125,15.175,30.7875,968.39375,963.68125,AN,Primavera,T2,0
262,2022,05,2022-05-30,202202,30052022,1,434.75,23.04375,15.9875,30.10625,966.1875,962.2375,AN,Primavera,T2,0
264,2022,05,2022-05-31,202202,31052022,1,434.75,21.9125,15.3875,28.4375,964.95,961.1375,AN,Primavera,T2,0
266,2022,06,2022-06-01,202202,1062022,1,434.75,20.59375,14.3625,26.84375,964.94375,962.19375,AN,Primavera,T2,0
268,2022,06,2022-06-02,202202,2062022,1,434.75,20.6,13.053333333333335,28.14,968.9,965.3666666666667,AN,Primavera,T2,0
270,2022,06,2022-06-03,202202,3062022,1,434.75,21.733333333333334,14.66,28.82,969.7066666666667,964.9933333333333,AN,Primavera,T2,0
