Edad;Sexo;Comunidades y Ciudades Autónomas;Periodo
De 16 a 19 años;Hombres;Andalucía;202201
De 16 a 19 años;Hombres;Andalucía;202202
De 16 a 19 años;Hombres;Andalucía;202203
De 16 a 19 años;Hombres;Andalucía;202204
De 16 a 19 años;Hombres;Andalucía;202301
De 16 a 19 años;Hombres;Andalucía;202302
De 16 a 19 años;Hombres;Andalucía;202303
De 16 a 19 años;Hombres;Andalucía;202304
De 16 a 19 años;Mujeres;Andalucía;202201
De 16 a 19 años;Mujeres;Andalucía;202202
De 16 a 19 años;Mujeres;Andalucía;202203
De 16 a 19 años;Mujeres;Andalucía;202204
De 16 a 19 años;Mujeres;Andalucía;202301
De 16 a 19 años;Mujeres;Andalucía;202302
De 16 a 19 años;Mujeres;Andalucía;202303
De 16 a 19 años;Mujeres;Andalucía;202304
De 20 a 24 años;Hombres;Andalucía;202201
De 20 a 24 años;Hombres;Andalucía;202202
De 20 a 24 años;Hombres;Andalucía;202203
De 20 a 24 años;Hombres;Andalucía;202204
De 20 a 24 años;Hombres;Andalucía;202301
De 20 a 24 años;Hombres;Andalucía;202302
De 20 a 24 años;Hombres;Andalucía;202303
De 20 a 24 años;Hombres;Andalucía;202304
De 20 a 24 años;Mujeres;Andalucía;202201
De 20 a 24 años;Mujeres;Andalucía;202202
De 20 a 24 años;Mujeres;Andalucía;202203
De 20 a 24 años;Mujeres;Andalucía;202204
De 20 a 24 años;Mujeres;Andalucía;202301
De 20 a 24 años;Mujeres;Andalucía;202302
De 20 a 24 años;Mujeres;Andalucía;202303
De 20 a 24 años;Mujeres;Andalucía;202304
De 25 a 34 años;Hombres;Andalucía;202201
De 25 a 34 años;Hombres;Andalucía;202202
De 25 a 34 años;Hombres;Andalucía;202203
De 25 a 34 años;Hombres;Andalucía;202204
De 25 a 34 años;Hombres;Andalucía;202301
De 25 a 34 años;Hombres;Andalucía;202302
De 25 a 34 años;Hombres;Andalucía;202303
De 25 a 34 años;Hombres;Andalucía;202304
De 25 a 34 años;Mujeres;Andalucía;202201
De 25 a 34 años;Mujeres;Andalucía;202202
De 25 a 34 años;Mujeres;Andalucía;202203
De 25 a 34 años;Mujeres;Andalucía;202204
De 25 a 34 años;Mujeres;Andalucía;202301
De 25 a 34 años;Mujeres;Andalucía;202302
De 25 a 34 años;Mujeres;Andalucía;202303
De 25 a 34 años;Mujeres;Andalucía;202304
De 35 a 44 años;Hombres;Andalucía;202201
De 35 a 44 años;Hombres;Andalucía;202202
De 35 a 44 años;Hombres;Andalucía;202203
De 35 a 44 años;Hombres;Andalucía;202204
De 35 a 44 años;Hombres;Andalucía;202301
De 35 a 44 años;Hombres;Andalucía;202302
De 35 a 44 años;Hombres;Andalucía;202303
De 35 a 44 años;Hombres;Andalucía;202304
De 35 a 44 años;Mujeres;Andalucía;202201
De 35 a 44 años;Mujeres;Andalucía;202202
De 35 a 44 años;Mujeres;Andalucía;202203
De 35 a 44 años;Mujeres;Andalucía;202204
De 35 a 44 años;Mujeres;Andalucía;202301
De 35 a 44 años;Mujeres;Andalucía;202302
De 35 a 44 años;Mujeres;Andalucía;202303
De 35 a 44 años;Mujeres;Andalucía;202304
De 45 a 54 años;Hombres;Andalucía;202201
De 45 a 54 años;Hombres;Andalucía;202202
De 45 a 54 años;Hombres;Andalucía;202203
De 45 a 54 años;Hombres;Andalucía;202204
De 45 a 54 años;Hombres;Andalucía;202301
De 45 a 54 años;Hombres;Andalucía;202302
De 45 a 54 años;Hombres;Andalucía;202303
De 45 a 54 años;Hombres;Andalucía;202304
De 45 a 54 años;Mujeres;Andalucía;202201
De 45 a 54 años;Mujeres;Andalucía;202202
De 45 a 54 años;Mujeres;Andalucía;202203
De 45 a 54 años;Mujeres;Andalucía;202204
De 45 a 54 años;Mujeres;Andalucía;202301
De 45 a 54 años;Mujeres;Andalucía;202302
De 45 a 54 años;Mujeres;Andalucía;202303
De 45 a 54 años;Mujeres;Andalucía;202304
55 y más años;Hombres;Andalucía;202201
