ccaa_iso;fecha;Año;Mes;Trimestre;num_casos;Periodo;fecha_int;Estacion;Curso Lectivo
AN;20/3/2020;2020;3;T1;760;202001;20032020;Primavera;1
AN;21/3/2020;2020;3;T1;523;202001;21032020;Primavera;1
AN;22/3/2020;2020;3;T1;492;202001;22032020;Primavera;1
AN;23/3/2020;2020;3;T1;534;202001;23032020;Primavera;1
AN;24/3/2020;2020;3;T1;475;202001;24032020;Primavera;1
AN;25/3/2020;2020;3;T1;497;202001;25032020;Primavera;1
AN;26/3/2020;2020;3;T1;437;202001;26032020;Primavera;1
AN;27/3/2020;2020;3;T1;402;202001;27032020;Primavera;1
AN;28/3/2020;2020;3;T1;297;202001;28032020;Primavera;1
AN;29/3/2020;2020;3;T1;326;202001;29032020;Primavera;1
AN;30/3/2020;2020;3;T1;305;202001;30032020;Primavera;1
AN;31/3/2020;2020;3;T1;248;202001;31032020;Primavera;1
AN;1/4/2020;2020;4;T2;331;202002;1042020;Primavera;1
AN;2/4/2020;2020;4;T2;225;202002;2042020;Primavera;1
AN;3/4/2020;2020;4;T2;178;202002;3042020;Primavera;1
AN;4/4/2020;2020;4;T2;179;202002;4042020;Primavera;1
AN;5/4/2020;2020;4;T2;172;202002;5042020;Primavera;1
AN;6/4/2020;2020;4;T2;145;202002;6042020;Primavera;1
AN;7/4/2020;2020;4;T2;172;202002;7042020;Primavera;1
AN;8/4/2020;2020;4;T2;145;202002;8042020;Primavera;1
AN;9/4/2020;2020;4;T2;94;202002;9042020;Primavera;1
AN;10/4/2020;2020;4;T2;104;202002;10042020;Primavera;1
AN;11/4/2020;2020;4;T2;106;202002;11042020;Primavera;1
AN;12/4/2020;2020;4;T2;89;202002;12042020;Primavera;1
AN;13/4/2020;2020;4;T2;79;202002;13042020;Primavera;1
AN;14/4/2020;2020;4;T2;67;202002;14042020;Primavera;1
AN;15/4/2020;2020;4;T2;107;202002;15042020;Primavera;1
AN;16/4/2020;2020;4;T2;57;202002;16042020;Primavera;1
AN;17/4/2020;2020;4;T2;71;202002;17042020;Primavera;1
AN;18/4/2020;2020;4;T2;47;202002;18042020;Primavera;1
AN;19/4/2020;2020;4;T2;40;202002;19042020;Primavera;1
AN;20/4/2020;2020;4;T2;42;202002;20042020;Primavera;1
AN;21/4/2020;2020;4;T2;45;202002;21042020;Primavera;1
AN;22/4/2020;2020;4;T2;30;202002;22042020;Primavera;1
AN;23/4/2020;2020;4;T2;41;202002;23042020;Primavera;1
AN;24/4/2020;2020;4;T2;51;202002;24042020;Primavera;1
AN;25/4/2020;2020;4;T2;28;202002;25042020;Primavera;1
AN;26/4/2020;2020;4;T2;20;202002;26042020;Primavera;1
AN;27/4/2020;2020;4;T2;22;202002;27042020;Primavera;1
AN;28/4/2020;2020;4;T2;22;202002;28042020;Primavera;1
AN;29/4/2020;2020;4;T2;35;202002;29042020;Primavera;1
AN;30/4/2020;2020;4;T2;24;202002;30042020;Primavera;1
AN;1/5/2020;2020;5;T2;17;202002;1052020;Primavera;1
AN;2/5/2020;2020;5;T2;17;202002;2052020;Primavera;1
AN;3/5/2020;2020;5;T2;13;202002;3052020;Primavera;1
AN;4/5/2020;2020;5;T2;23;202002;4052020;Primavera;1
AN;5/5/2020;2020;5;T2;13;202002;5052020;Primavera;1
AN;6/5/2020;2020;5;T2;4;202002;6052020;Primavera;1
AN;7/5/2020;2020;5;T2;4;202002;7052020;Primavera;1
AN;8/5/2020;2020;5;T2;8;202002;8052020;Primavera;1
AN;9/5/2020;2020;5;T2;4;202002;9052020;Primavera;1
AN;10/5/2020;2020;5;T2;6;202002;10052020;Primavera;1
AN;11/5/2020;2020;5;T2;16;202002;11052020;Primavera;1
AN;12/5/2020;2020;5;T2;23;202002;12052020;Primavera;1
AN;13/5/2020;2020;5;T2;13;202002;13052020;Primavera;1
AN;14/5/2020;2020;5;T2;10;202002;14052020;Primavera;1
AN;15/5/2020;2020;5;T2;13;202002;15052020;Primavera;1
AN;16/5/2020;2020;5;T2;6;202002;16052020;Primavera;1
AN;17/5/2020;2020;5;T2;9;202002;17052020;Primavera;1
AN;18/5/2020;2020;5;T2;11;202002;18052020;Primavera;1
AN;19/5/2020;2020;5;T2;11;202002;19052020;Primavera;1
AN;20/5/2020;2020;5;T2;10;202002;20052020;Primavera;1
AN;21/5/2020;2020;5;T2;7;202002;21052020;Primavera;1
AN;22/5/2020;2020;5;T2;5;202002;22052020;Primavera;1
AN;23/5/2020;2020;5;T2;6;202002;23052020;Primavera;1
AN;24/5/2020;2020;5;T2;5;202002;24052020;Primavera;1
AN;25/5/2020;2020;5;T2;10;202002;25052020;Primavera;1
AN;26/5/2020;2020;5;T2;8;202002;26052020;Primavera;1
AN;27/5/2020;2020;5;T2;11;202002;27052020;Primavera;1
AN;28/5/2020;2020;5;T2;6;202002;28052020;Primavera;1
AN;29/5/2020;2020;5;T2;17;202002;29052020;Primavera;1
AN;30/5/2020;2020;5;T2;14;202002;30052020;Primavera;1
AN;31/5/2020;2020;5;T2;11;202002;31052020;Primavera;1
AN;1/6/2020;2020;6;T2;15;202002;1062020;Primavera;1
AN;2/6/2020;2020;6;T2;5;202002;2062020;Primavera;1
AN;3/6/2020;2020;6;T2;12;202002;3062020;Primavera;1
AN;4/6/2020;2020;6;T2;5;202002;4062020;Primavera;1
AN;5/6/2020;2020;6;T2;9;202002;5062020;Primavera;1
AN;6/6/2020;2020;6;T2;6;202002;6062020;Primavera;1
AN;7/6/2020;2020;6;T2;2;202002;7062020;Primavera;1
AN;8/6/2020;2020;6;T2;6;202002;8062020;Primavera;1
AN;9/6/2020;2020;6;T2;6;202002;9062020;Primavera;1
AN;10/6/2020;2020;6;T2;6;202002;10062020;Primavera;1
AN;11/6/2020;2020;6;T2;5;202002;11062020;Primavera;1
AN;12/6/2020;2020;6;T2;5;202002;12062020;Primavera;1
AN;13/6/2020;2020;6;T2;4;202002;13062020;Primavera;1
AN;14/6/2020;2020;6;T2;4;202002;14062020;Primavera;1
AN;15/6/2020;2020;6;T2;6;202002;15062020;Primavera;1
AN;16/6/2020;2020;6;T2;12;202002;16062020;Primavera;1
AN;17/6/2020;2020;6;T2;10;202002;17062020;Primavera;1
AN;18/6/2020;2020;6;T2;25;202002;18062020;Primavera;1
AN;19/6/2020;2020;6;T2;9;202002;19062020;Primavera;1
AN;20/6/2020;2020;6;T2;15;202002;20062020;Primavera;1
AN;21/6/2020;2020;6;T2;11;202002;21062020;Verano;1
AN;22/6/2020;2020;6;T2;17;202002;22062020;Verano;1
AN;23/6/2020;2020;6;T2;13;202002;23062020;Verano;1
AN;24/6/2020;2020;6;T2;96;202002;24062020;Verano;1
AN;25/6/2020;2020;6;T2;24;202002;25062020;Verano;0
AN;26/6/2020;2020;6;T2;20;202002;26062020;Verano;0
AN;27/6/2020;2020;6;T2;16;202002;27062020;Verano;0
AN;28/6/2020;2020;6;T2;25;202002;28062020;Verano;0
AN;29/6/2020;2020;6;T2;21;202002;29062020;Verano;0
AN;30/6/2020;2020;6;T2;26;202002;30062020;Verano;0
AN;1/7/2020;2020;7;T3;24;202003;1072020;Verano;0
AN;2/7/2020;2020;7;T3;15;202003;2072020;Verano;0
AN;3/7/2020;2020;7;T3;26;202003;3072020;Verano;0
AN;4/7/2020;2020;7;T3;23;202003;4072020;Verano;0
AN;5/7/2020;2020;7;T3;18;202003;5072020;Verano;0
AN;6/7/2020;2020;7;T3;22;202003;6072020;Verano;0
AN;7/7/2020;2020;7;T3;34;202003;7072020;Verano;0
AN;8/7/2020;2020;7;T3;55;202003;8072020;Verano;0
AN;9/7/2020;2020;7;T3;38;202003;9072020;Verano;0
AN;10/7/2020;2020;7;T3;58;202003;10072020;Verano;0
AN;11/7/2020;2020;7;T3;48;202003;11072020;Verano;0
AN;12/7/2020;2020;7;T3;33;202003;12072020;Verano;0
AN;13/7/2020;2020;7;T3;48;202003;13072020;Verano;0
AN;14/7/2020;2020;7;T3;96;202003;14072020;Verano;0
AN;15/7/2020;2020;7;T3;64;202003;15072020;Verano;0
AN;16/7/2020;2020;7;T3;93;202003;16072020;Verano;0
AN;17/7/2020;2020;7;T3;98;202003;17072020;Verano;0
AN;18/7/2020;2020;7;T3;85;202003;18072020;Verano;0
AN;19/7/2020;2020;7;T3;115;202003;19072020;Verano;0
AN;20/7/2020;2020;7;T3;122;202003;20072020;Verano;0
AN;21/7/2020;2020;7;T3;75;202003;21072020;Verano;0
AN;22/7/2020;2020;7;T3;78;202003;22072020;Verano;0
AN;23/7/2020;2020;7;T3;126;202003;23072020;Verano;0
AN;24/7/2020;2020;7;T3;127;202003;24072020;Verano;0
AN;25/7/2020;2020;7;T3;112;202003;25072020;Verano;0
