Edad;Sexo;Sector económico;Periodo;Total
Total;Ambos sexos;Total;2018T4;3.304,3
Total;Ambos sexos;Total;2018T3;3.326,0
Total;Ambos sexos;Total;2018T2;3.490,1
Total;Ambos sexos;Total;2018T1;3.796,1
Total;Ambos sexos;Total;2017T4;3.766,7
Total;Ambos sexos;Total;2017T3;3.731,7
Total;Ambos sexos;Total;2017T2;3.914,3
Total;Ambos sexos;Total;2017T1;4.255,0
Total;Ambos sexos;Total;2016T4;4.237,8
Total;Ambos sexos;Total;2016T3;4.320,8
Total;Ambos sexos;Total;2016T2;4.574,7
Total;Ambos sexos;Total;2016T1;4.791,4
Total;Ambos sexos;Total;2015T4;4.779,5
Total;Ambos sexos;Total;2015T3;4.850,8
Total;Ambos sexos;Total;2015T2;5.149,0
Total;Ambos sexos;Total;2015T1;5.444,6
Total;Ambos sexos;Total;2014T4;5.457,7
Total;Ambos sexos;Total;2014T3;5.427,7
Total;Ambos sexos;Total;2014T2;5.622,9
Total;Ambos sexos;Total;2014T1;5.933,3
Total;Ambos sexos;Total;2013T4;5.935,6
Total;Ambos sexos;Total;2013T3;5.943,4
Total;Ambos sexos;Total;2013T2;6.047,3
Total;Ambos sexos;Total;2013T1;6.278,2
Total;Ambos sexos;Total;2012T4;6.021,0
Total;Ambos sexos;Total;2012T3;5.824,2
Total;Ambos sexos;Total;2012T2;5.731,0
Total;Ambos sexos;Total;2012T1;5.667,9
Total;Ambos sexos;Total;2011T4;5.287,3
Total;Ambos sexos;Total;2011T3;4.998,0
Total;Ambos sexos;Total;2011T2;4.844,2
Total;Ambos sexos;Total;2011T1;4.921,2
Total;Ambos sexos;Total;2010T4;4.702,2
Total;Ambos sexos;Total;2010T3;4.585,4
Total;Ambos sexos;Total;2010T2;4.655,3
Total;Ambos sexos;Total;2010T1;4.617,7
